yourlist:M201907185C475328CEF75220C360D524E9D456CE29FB3CW	Entry	Gene names	Protein names	EC number	Function [CC]	Pathway	Keywords	Protein existence	Gene ontology (GO)	Protein families	Taxonomic lineage (SUPERKINGDOM)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (CLASS)	Taxonomic lineage (ORDER)	Taxonomic lineage (FAMILY)	Taxonomic lineage (GENUS)	Taxonomic lineage (SPECIES)	Cross-reference (BioCyc)	Cross-reference (BRENDA)	Cross-reference (CDD)	Cross-reference (eggNOG)	Ensembl transcript	Cross-reference (InterPro)	Cross-reference (KEGG)	Cross-reference (KO)	Cross-reference (Pfam)	Cross-reference (Reactome)	Cross-reference (RefSeq)	Cross-reference (UniPathway)	Organism	Organism ID
A0A089ZE63	A0A089ZE63	BRM9_0308 DSM1535_1001 MB9_2084	Peptidase M23 family				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR011055;IPR016047;	mfc:BRM9_0308;mfi:DSM1535_1001;		PF01551;				Methanobacterium formicicum	2162
A0A090I3B5	A0A090I3B5	DSM1535_1364	Uncharacterized protein				Complete proteome;DNA-binding;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]; DNA binding [GO:0003677]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR009057;IPR001647;	mfi:DSM1535_1364;		PF00440;		WP_048072880.1;		Methanobacterium formicicum	2162
A0A090I7H9	A0A090I7H9	DSM1535_1855	TspO and MBR-like protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd15904;			IPR038330;IPR004307;	mfi:DSM1535_1855;	K05770;	PF03073;		WP_048073259.1;		Methanobacterium formicicum	2162
A0A090I0X5	A0A090I0X5	DSM1535_0103 MB9_0440	UPF0282 protein DSM1535_0103				Complete proteome	Inferred from homology		UPF0282 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR036866;IPR014426;	mfi:DSM1535_0103;	K07022;					Methanobacterium formicicum	2162
A0A090I4W9	A0A090I4W9	DSM1535_0554	Uncharacterized protein				Complete proteome	Predicted	oxidoreductase activity [GO:0016491]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR036485;	mfi:DSM1535_0554;	K00202;			WP_048072193.1;		Methanobacterium formicicum	2162
A0A090I507	A0A090I507	pdxT BRM9_0647 DSM1535_0619 MB9_1722	Pyridoxal 5'-phosphate synthase subunit PdxT (EC 4.3.3.6) (Pdx2) (Pyridoxal 5'-phosphate synthase glutaminase subunit) (EC 3.5.1.2)	4.3.3.6; 3.5.1.2	FUNCTION: Catalyzes the hydrolysis of glutamine to glutamate and ammonia as part of the biosynthesis of pyridoxal 5'-phosphate. The resulting ammonia molecule is channeled to the active site of PdxS. {ECO:0000256|HAMAP-Rule:MF_01615}.	PATHWAY: Cofactor biosynthesis; pyridoxal 5'-phosphate biosynthesis. {ECO:0000256|HAMAP-Rule:MF_01615}.	Complete proteome;Glutamine amidotransferase;Hydrolase;Lyase;Pyridoxal phosphate;Transferase	Inferred from homology	glutaminase activity [GO:0004359]; pyridoxal 5'-phosphate synthase (glutamine hydrolysing) activity [GO:0036381]; transferase activity [GO:0016740]; glutamine catabolic process [GO:0006543]; pyridoxal phosphate biosynthetic process [GO:0042823]	Glutaminase PdxT/SNO family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd01749;			IPR029062;IPR002161;	mfc:BRM9_0647;mfi:DSM1535_0619;	K08681;	PF01174;		WP_048072249.1;	UPA00245	Methanobacterium formicicum	2162
A0A089ZDY3	A0A089ZDY3	BRM9_2189 DSM1535_1120 MB9_2223	Putative membrane protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfc:BRM9_2189;mfi:DSM1535_1120;				WP_052400037.1;		Methanobacterium formicicum	2162
A0A090I3T9	A0A090I3T9	BRM9_2056 DSM1535_1632 MB9_0281	TetR family transcriptional regulator (Transcriptional regulator-like protein)				Complete proteome;DNA-binding	Predicted	DNA binding [GO:0003677]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR023772;IPR009057;IPR001647;IPR036271;	mfc:BRM9_2056;mfi:DSM1535_1632;		PF00440;				Methanobacterium formicicum	2162
A0A090JYJ9	A0A090JYJ9	hemD DSM1535_2312	Putative uroporphyrinogen-III synthase (EC 4.2.1.75)	4.2.1.75			Complete proteome;Lyase	Predicted	uroporphyrinogen-III synthase activity [GO:0004852]; uroporphyrinogen III biosynthetic process [GO:0006780]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd06578;			IPR036108;IPR003754;IPR039793;	mfi:DSM1535_2312;	K01719;	PF02602;		WP_048073636.1;		Methanobacterium formicicum	2162
A0A090I0S4	A0A090I0S4	DSM1535_0048 MB9_0492	BioY protein				Cell membrane;Complete proteome;Membrane;Transmembrane;Transmembrane helix;Transport	Inferred from homology	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; biotin transmembrane transporter activity [GO:0015225]	BioY family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR003784;	mfi:DSM1535_0048;	K03523;	PF02632;				Methanobacterium formicicum	2162
A0A090I7E7	A0A090I7E7	DSM1535_1805	Cytoplasmic protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfi:DSM1535_1805;				WP_052659990.1;		Methanobacterium formicicum	2162
A0A090I479	A0A090I479	DSM1535_1658	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR010268;	mfi:DSM1535_1658;		PF05942;		WP_048073105.1;		Methanobacterium formicicum	2162
A0A090I2I1	A0A090I2I1	DSM1535_0718	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfi:DSM1535_0718;				WP_048073822.1;		Methanobacterium formicicum	2162
A0A090I664	A0A090I664	BRM9_2309 DSM1535_1243 MB9_2347	Phosphatidate cytidylyltransferase				Complete proteome;Membrane;Nucleotidyltransferase;Transferase;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]; nucleotidyltransferase activity [GO:0016779]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfc:BRM9_2309;mfi:DSM1535_1243;				WP_048072777.1;		Methanobacterium formicicum	2162
A0A090I6T4	A0A090I6T4	DSM1535_0435	Transferase hexapeptide repeat containing protein				Complete proteome;Transferase	Predicted	transferase activity [GO:0016740]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR001451;IPR011004;	mfi:DSM1535_0435;		PF00132;PF14602;		WP_048072095.1;		Methanobacterium formicicum	2162
A0A090I4Q5	A0A090I4Q5	BRM9_1262 DSM1535_1945 MB9_1052	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR018691;IPR038532;	mfc:BRM9_1262;mfi:DSM1535_1945;		PF09954;		WP_048073331.1;		Methanobacterium formicicum	2162
A0A090I500	A0A090I500	DSM1535_0609	UPF0111 protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR002727;IPR038078;IPR018445;	mfi:DSM1535_0609;	K07220;	PF01865;		WP_048072239.1;		Methanobacterium formicicum	2162
A0A089ZEQ5	A0A089ZEQ5	cbiM2 BRM9_1717 DSM1535_2357 MB9_0639	Cobalamin biosynthesis protein CbiM2 (Cobalamin biosynthesis protein M-like protein)				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]; transition metal ion transport [GO:0000041]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR002751;	mfc:BRM9_1717;mfi:DSM1535_2357;	K02007;	PF01891;		WP_023991714.1;		Methanobacterium formicicum	2162
A0A090I1A5	A0A090I1A5	DSM1535_0355	Uncharacterized protein				Coiled coil;Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR008533;IPR027417;	mfi:DSM1535_0355;	K06923;	PF05673;		WP_048072023.1;		Methanobacterium formicicum	2162
A0A090I8G6	A0A090I8G6	rpl44e BRM9_2261 DSM1535_1195 MB9_2299	50S ribosomal protein L44e		FUNCTION: Binds to the 23S rRNA. {ECO:0000256|HAMAP-Rule:MF_01476}.		Complete proteome;Metal-binding;RNA-binding;Ribonucleoprotein;Ribosomal protein;Zinc;Zinc-finger;rRNA-binding	Inferred from homology	ribosome [GO:0005840]; large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]; zinc ion binding [GO:0008270]; translation [GO:0006412]	Eukaryotic ribosomal protein eL42 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR000552;IPR011332;	mfc:BRM9_2261;mfi:DSM1535_1195;	K02929;	PF00935;		WP_048072731.1;		Methanobacterium formicicum	2162
A0A090I9H0	A0A090I9H0	DSM1535_1651	Putative membrane protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR029044;	mfi:DSM1535_1651;				WP_048073101.1;		Methanobacterium formicicum	2162
A0A090I7K7	A0A090I7K7	DSM1535_0746 MB9_1836	Citrate synthase				Complete proteome	Predicted	transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer [GO:0046912]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR016142;IPR016143;IPR002020;IPR036969;	mfi:DSM1535_0746;		PF00285;		WP_048072356.1;		Methanobacterium formicicum	2162
A0A090I3B4	A0A090I3B4	BRM9_2243 DSM1535_1175 MB9_2279	Putative membrane protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR012427;	mfc:BRM9_2243;mfi:DSM1535_1175;		PF07784;		WP_048072716.1;		Methanobacterium formicicum	2162
A0A090I2Z5	A0A090I2Z5	DSM1535_1004	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfi:DSM1535_1004;				WP_048072572.1;		Methanobacterium formicicum	2162
A0A090I9W1	A0A090I9W1	DSM1535_1837	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR011089;IPR004919;	mfi:DSM1535_1837;		PF07510;PF03235;				Methanobacterium formicicum	2162
A0A090I445	A0A090I445	trmG10 DSM1535_0119	tRNA (Guanine(10)-N2)-dimethyltransferase (EC 2.1.1.213)	2.1.1.213			Complete proteome;Methyltransferase;RNA-binding;Transferase	Predicted	RNA binding [GO:0003723]; tRNA (guanine-N2-)-methyltransferase activity [GO:0004809]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR002052;IPR000241;IPR029063;IPR004114;IPR005885;	mfi:DSM1535_0119;	K07446;	PF02926;PF01170;		WP_048071823.1;		Methanobacterium formicicum	2162
A0A090I6Q4	A0A090I6Q4	DSM1535_0389	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfi:DSM1535_0389;				WP_048072054.1;		Methanobacterium formicicum	2162
A0A090I747	A0A090I747	DSM1535_0571	PilT protein domain-containing protein				Complete proteome	Predicted	RNA binding [GO:0003723]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR015946;IPR009019;	mfi:DSM1535_0571;	K06865;					Methanobacterium formicicum	2162
A0A090I9R9	A0A090I9R9	DSM1535_1782 MB9_1216	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfi:DSM1535_1782;						Methanobacterium formicicum	2162
A0A090I529	A0A090I529	DSM1535_0644	Putative membrane protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfi:DSM1535_0644;				WP_048072271.1;		Methanobacterium formicicum	2162
A0A090I2E5	A0A090I2E5	DSM1535_0860 MB9_1947	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfi:DSM1535_0860;				WP_048072451.1;		Methanobacterium formicicum	2162
A0A090I153	A0A090I153	DSM1535_0269	Uncharacterized protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR011674;IPR036259;	mfi:DSM1535_0269;		PF07760;				Methanobacterium formicicum	2162
A0A090I0N4	A0A090I0N4	DSM1535_0087	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfi:DSM1535_0087;						Methanobacterium formicicum	2162
A0A090JUE8	A0A090JUE8	DSM1535_0720	Uncharacterized protein				Coiled coil;Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR041685;IPR027417;	mfi:DSM1535_0720;		PF13175;		WP_048072333.1;		Methanobacterium formicicum	2162
A0A090I2F5	A0A090I2F5	BRM9_0726 DSM1535_0678 MB9_1762	Uncharacterized protein				Coiled coil;Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfc:BRM9_0726;mfi:DSM1535_0678;						Methanobacterium formicicum	2162
A0A090I7H1	A0A090I7H1	DSM1535_0687	Putative transporter MTH_841				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR000620;	mfi:DSM1535_0687;		PF00892;				Methanobacterium formicicum	2162
A0A090IA17	A0A090IA17	DSM1535_1913	Uncharacterized protein				Coiled coil;Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd00075;			IPR003594;IPR036890;IPR005467;IPR011495;	mfi:DSM1535_1913;		PF02518;PF07568;		WP_052660001.1;		Methanobacterium formicicum	2162
A0A089ZDE0	A0A089ZDE0	BRM9_0011 DSM1535_1329 MB9_2436	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR002822;	mfc:BRM9_0011;mfi:DSM1535_1329;	K09121;	PF01969;		WP_048072852.1;		Methanobacterium formicicum	2162
A0A090I499	A0A090I499	DSM1535_1688	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR027417;	mfi:DSM1535_1688;						Methanobacterium formicicum	2162
A0A090I6B6	A0A090I6B6	DSM1535_0182	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR019218;	mfi:DSM1535_0182;		PF09892;		WP_048071877.1;		Methanobacterium formicicum	2162
A0A089ZG63	A0A089ZG63	BRM9_2377 DSM1535_1309 MB9_2415	Uncharacterized protein				Coiled coil;Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR007438;	mfc:BRM9_2377;mfi:DSM1535_1309;		PF04343;		WP_048072832.1;		Methanobacterium formicicum	2162
A0A090JWI2	A0A090JWI2	DSM1535_1559	Pyruvate ferredoxin/flavodoxin oxidoreductase subunit beta (EC 1.2.7.3)	1.2.7.3			Complete proteome;Oxidoreductase;Pyruvate	Predicted	2-oxoglutarate synthase activity [GO:0047553]; thiamine pyrophosphate binding [GO:0030976]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR011896;IPR032686;IPR029061;IPR011766;	mfi:DSM1535_1559;	K00175;	PF12367;PF02775;		WP_048073028.1;		Methanobacterium formicicum	2162
A0A090I3H0	A0A090I3H0	DSM1535_1237	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR032710;IPR037401;	mfi:DSM1535_1237;		PF13474;		WP_048072771.1;		Methanobacterium formicicum	2162
A0A090I285	A0A090I285	pstA BRM9_0782 DSM1535_0742 MB9_1832	Phosphate transport system permease protein PstA				Cell membrane;Complete proteome;Membrane;Transmembrane;Transmembrane helix	Inferred from homology	integral component of plasma membrane [GO:0005887]; inorganic phosphate transmembrane transporter activity [GO:0005315]; phosphate ion transmembrane transport [GO:0035435]	Binding-protein-dependent transport system permease family, CysTW subfamily	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd06261;			IPR000515;IPR035906;IPR005672;	mfc:BRM9_0782;mfi:DSM1535_0742;	K02038;	PF00528;		WP_048072352.1;		Methanobacterium formicicum	2162
A0A089ZIT2	A0A089ZIT2	BRM9_1974 DSM1535_0166 MB9_0382	NurA domain-containing protein				Coiled coil;Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR018977;	mfc:BRM9_1974;mfi:DSM1535_0166;		PF09376;		WP_048071862.1;		Methanobacterium formicicum	2162
A0A090JW55	A0A090JW55	DSM1535_1418	Putative membrane protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfi:DSM1535_1418;				WP_048072926.1;		Methanobacterium formicicum	2162
A0A090I111	A0A090I111	trpE BRM9_2006 DSM1535_0198 MB9_0333	Anthranilate synthase component 1 (EC 4.1.3.27)	4.1.3.27	FUNCTION: Part of a heterotetrameric complex that catalyzes the two-step biosynthesis of anthranilate, an intermediate in the biosynthesis of L-tryptophan. In the first step, the glutamine-binding beta subunit (TrpG) of anthranilate synthase (AS) provides the glutamine amidotransferase activity which generates ammonia as a substrate that, along with chorismate, is used in the second step, catalyzed by the large alpha subunit of AS (TrpE) to produce anthranilate. In the absence of TrpG, TrpE can synthesize anthranilate directly from chorismate and high concentrations of ammonia. {ECO:0000256|RuleBase:RU364045}.	PATHWAY: Amino-acid biosynthesis; L-tryptophan biosynthesis; L-tryptophan from chorismate: step 1/5. {ECO:0000256|RuleBase:RU364045}.	Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Coiled coil;Complete proteome;Lyase;Magnesium;Metal-binding;Tryptophan biosynthesis	Inferred from homology	anthranilate synthase activity [GO:0004049]; metal ion binding [GO:0046872]; tryptophan biosynthetic process [GO:0000162]	Anthranilate synthase component I family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR005801;IPR019999;IPR006805;IPR010116;IPR015890;	mfc:BRM9_2006;mfi:DSM1535_0198;	K01657;	PF04715;PF00425;		WP_048071892.1;	UPA00035;UER00040	Methanobacterium formicicum	2162
A0A090I3B9	A0A090I3B9	DSM1535_1369	Uncharacterized protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]; potassium channel activity [GO:0005267]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR010617;	mfi:DSM1535_1369;		PF06736;		WP_048072885.1;		Methanobacterium formicicum	2162
A0A090I802	A0A090I802	BRM9_0334 DSM1535_0964 MB9_2049	Nitroreductase family protein				Complete proteome	Predicted	oxidoreductase activity [GO:0016491]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR017896;IPR017900;IPR029479;IPR000415;	mfc:BRM9_0334;mfi:DSM1535_0964;		PF13187;PF00881;				Methanobacterium formicicum	2162
A0A090I9B9	A0A090I9B9	BRM9_2096 DSM1535_1585 MB9_0235	Biopolymer transport protein ExbD/TolR (Transporter ExbD/Tol family)				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR003400;	mfc:BRM9_2096;mfi:DSM1535_1585;	K03559;	PF02472;		WP_048073050.1;		Methanobacterium formicicum	2162
A0A090I3C7	A0A090I3C7	nop10 BRM9_2258 DSM1535_1192 MB9_2296	Ribosome biogenesis protein Nop10		FUNCTION: Involved in ribosome biogenesis; more specifically in 18S rRNA pseudouridylation and in cleavage of pre-rRNA. {ECO:0000256|HAMAP-Rule:MF_00803}.		Complete proteome;Ribonucleoprotein;Ribosome biogenesis;rRNA processing	Inferred from homology	snoRNA binding [GO:0030515]; pseudouridine synthesis [GO:0001522]; rRNA processing [GO:0006364]	NOP10 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR007264;IPR036756;IPR023532;	mfc:BRM9_2258;mfi:DSM1535_1192;	K11130;	PF04135;				Methanobacterium formicicum	2162
A0A090JVH2	A0A090JVH2	BRM9_2211 DSM1535_1141 MB9_2245	ArsR family transcriptional regulator				Complete proteome	Predicted	DNA-binding transcription factor activity [GO:0003700]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd00090;			IPR011991;IPR001845;IPR036388;IPR036390;	mfc:BRM9_2211;mfi:DSM1535_1141;		PF01022;		WP_048072686.1;		Methanobacterium formicicum	2162
A0A090I5N6	A0A090I5N6	DSM1535_1005	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfi:DSM1535_1005;				WP_048072573.1;		Methanobacterium formicicum	2162
A0A090I8H7	A0A090I8H7	DSM1535_2295	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR027417;	mfi:DSM1535_2295;				WP_048073621.1;		Methanobacterium formicicum	2162
A0A090I793	A0A090I793	yyaL DSM1535_1715	Uncharacterized protein				Complete proteome	Predicted	catalytic activity [GO:0003824]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd02955;			IPR008928;IPR012341;IPR004879;IPR024705;IPR036249;	mfi:DSM1535_1715;	K06888;	PF03190;		WP_048073149.1;		Methanobacterium formicicum	2162
A0A090I961	A0A090I961	nifE DSM1535_1509	Nitrogenase iron-molybdenum cofactor biosynthesis protein NifE				Coiled coil;Complete proteome;Nitrogen fixation	Inferred from homology	nitrogenase activity [GO:0016163]; nitrogen fixation [GO:0009399]; protein-containing complex assembly [GO:0065003]	NifD/NifK/NifE/NifN family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR000510;IPR000318;IPR005973;	mfi:DSM1535_1509;	K02587;	PF00148;				Methanobacterium formicicum	2162
A0A090I6Y6	A0A090I6Y6	DSM1535_0506	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR007160;	mfi:DSM1535_0506;		PF04015;				Methanobacterium formicicum	2162
A0A090I0T8	A0A090I0T8	BRM9_1880 DSM1535_0063 MB9_0477	Uncharacterized protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]; catalytic activity [GO:0003824]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd06174;			IPR017850;IPR020846;IPR007165;IPR002591;	mfc:BRM9_1880;mfi:DSM1535_0063;		PF04020;PF01663;		WP_048071779.1;		Methanobacterium formicicum	2162
A0A090JVR4	A0A090JVR4	DSM1535_1239	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR003795;IPR038695;	mfi:DSM1535_1239;	K09005;	PF02643;		WP_048072773.1;		Methanobacterium formicicum	2162
A0A090I2Z0	A0A090I2Z0	DSM1535_0991	Uncharacterized protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfi:DSM1535_0991;				WP_048072564.1;		Methanobacterium formicicum	2162
