yourlist:M201907185C475328CEF75220C360D524E9D456CE29FB33D	Entry	Gene names	Protein names	EC number	Function [CC]	Pathway	Keywords	Protein existence	Gene ontology (GO)	Protein families	Taxonomic lineage (SUPERKINGDOM)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (CLASS)	Taxonomic lineage (ORDER)	Taxonomic lineage (FAMILY)	Taxonomic lineage (GENUS)	Taxonomic lineage (SPECIES)	Cross-reference (BioCyc)	Cross-reference (BRENDA)	Cross-reference (CDD)	Cross-reference (eggNOG)	Ensembl transcript	Cross-reference (InterPro)	Cross-reference (KEGG)	Cross-reference (KO)	Cross-reference (Pfam)	Cross-reference (Reactome)	Cross-reference (RefSeq)	Cross-reference (UniPathway)	Organism	Organism ID
K2R0A8	K2R0A8	A994_05736	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR002790;IPR021139;			PF01936;		WP_004030410.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
A0A090I3L5	A0A090I3L5	DSM1535_1340	UPF0285 protein DSM1535_1340				Complete proteome	Inferred from homology		UPF0285 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR016735;	mfi:DSM1535_1340;				WP_048072859.1;		Methanobacterium formicicum	2162
A0A089ZC90	A0A089ZC90	ahaD atpD BRM9_0840 DSM1535_0802 MB9_1892	V-type ATP synthase subunit D (V-ATPase subunit D)		FUNCTION: Produces ATP from ADP in the presence of a proton gradient across the membrane. {ECO:0000256|HAMAP-Rule:MF_00271}.		ATP synthesis;Coiled coil;Complete proteome;Hydrogen ion transport;Ion transport;Transport	Inferred from homology	ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; plasma membrane ATP synthesis coupled proton transport [GO:0042777]	V-ATPase D subunit family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR002699;	mfc:BRM9_0840;mfi:DSM1535_0802;	K02120;	PF01813;		WP_048072404.1;		Methanobacterium formicicum	2162
K2QE06	K2QE06	A994_05150	Uncharacterized protein				Complete proteome;Pyridoxal phosphate	Inferred from homology	catalytic activity [GO:0003824]	DegT/DnrJ/EryC1 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR000653;IPR015424;IPR015421;			PF01041;		WP_004030284.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
A0A090JUW9	A0A090JUW9	comB DSM1535_0923	2-phosphosulfolactate phosphatase (EC 3.1.3.71)	3.1.3.71		PATHWAY: Cofactor biosynthesis; coenzyme M biosynthesis; sulfoacetaldehyde from phosphoenolpyruvate and sulfite: step 2/4. {ECO:0000256|HAMAP-Rule:MF_00490}.	Coenzyme M biosynthesis;Complete proteome;Hydrolase;Magnesium	Inferred from homology	2-phosphosulfolactate phosphatase activity [GO:0050532]; magnesium ion binding [GO:0000287]; coenzyme M biosynthetic process [GO:0019295]	ComB family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR005238;IPR036702;IPR027639;	mfi:DSM1535_0923;	K05979;	PF04029;		WP_048072507.1;	UPA00355;UER00470	Methanobacterium formicicum	2162
A0A090I4E0	A0A090I4E0	degT DSM1535_0246	Pleiotropic regulatory protein				Complete proteome;Pyridoxal phosphate	Inferred from homology	catalytic activity [GO:0003824]	DegT/DnrJ/EryC1 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd00616;			IPR000653;IPR015424;IPR015422;IPR015421;	mfi:DSM1535_0246;		PF01041;		WP_048071927.1;		Methanobacterium formicicum	2162
A0A090I9F1	A0A090I9F1	mtrA2 mtrA DSM1535_1631	Tetrahydromethanopterin S-methyltransferase subunit A (EC 2.1.1.86) (N5-methyltetrahydromethanopterin--coenzyme M methyltransferase subunit A)	2.1.1.86	FUNCTION: Part of a complex that catalyzes the formation of methyl-coenzyme M and tetrahydromethanopterin from coenzyme M and methyl-tetrahydromethanopterin. This is an energy-conserving, sodium-ion translocating step. {ECO:0000256|HAMAP-Rule:MF_01093}.	PATHWAY: One-carbon metabolism; methanogenesis from CO(2); methyl-coenzyme M from 5,10-methylene-5,6,7,8-tetrahydromethanopterin: step 2/2. {ECO:0000256|HAMAP-Rule:MF_01093}.	Cell membrane;Cobalt;Complete proteome;Membrane;Methanogenesis;Methyltransferase;One-carbon metabolism;Transferase;Transmembrane;Transmembrane helix	Inferred from homology	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; cobalt ion binding [GO:0050897]; tetrahydromethanopterin S-methyltransferase activity [GO:0030269]; methanogenesis, from carbon dioxide [GO:0019386]; one-carbon metabolic process [GO:0006730]; sodium ion transport [GO:0006814]	MtrA family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR030688;IPR005778;	mfi:DSM1535_1631;	K00577;	PF04208;		WP_048073086.1;	UPA00640;UER00698	Methanobacterium formicicum	2162
K2R0A1	K2R0A1	rpl23 A994_05686	50S ribosomal protein L23		FUNCTION: Binds to 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. {ECO:0000256|HAMAP-Rule:MF_01369}.		Complete proteome;RNA-binding;Ribonucleoprotein;Ribosomal protein;rRNA-binding	Inferred from homology	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	Universal ribosomal protein uL23 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR012677;IPR019985;IPR012678;IPR013025;			PF00276;		WP_004030399.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
A0A089ZGE0	A0A089ZGE0	BRM9_1310	Adhesin-like protein with PMBR domains				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfc:BRM9_1310;				WP_052399993.1;		Methanobacterium formicicum	2162
A0A090I5Z1	A0A090I5Z1	BRM9_2225 DSM1535_1155 MB9_2259	Isochorismatase family protein (Isochorismatase hydrolase)				Complete proteome;Hydrolase	Predicted	hydrolase activity [GO:0016787]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR000868;IPR036380;	mfc:BRM9_2225;mfi:DSM1535_1155;		PF00857;		WP_048072698.1;		Methanobacterium formicicum	2162
A0A090JU62	A0A090JU62	BRM9_0648 DSM1535_0620 MB9_1721	Glutamine amidotransferase (Putative glutamine amidotransferase MTH_191) (EC 2.4.2.-)	2.4.2.-			Complete proteome;Glutamine amidotransferase;Glycosyltransferase;Transferase	Predicted	transferase activity, transferring glycosyl groups [GO:0016757]; glutamine metabolic process [GO:0006541]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR017932;IPR029055;	mfc:BRM9_0648;mfi:DSM1535_0620;				WP_048072250.1;		Methanobacterium formicicum	2162
K2RQB5	K2RQB5	metG A994_11052	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	6.1.1.10	FUNCTION: Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation. {ECO:0000256|HAMAP-Rule:MF_00098}.		ATP-binding;Aminoacyl-tRNA synthetase;Complete proteome;Cytoplasm;Ligase;Metal-binding;Nucleotide-binding;Protein biosynthesis;RNA-binding;Zinc;tRNA-binding	Inferred from homology	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; methionine-tRNA ligase activity [GO:0004825]; tRNA binding [GO:0000049]; methionyl-tRNA aminoacylation [GO:0006431]	Class-I aminoacyl-tRNA synthetase family, MetG type 1 subfamily	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd07957;cd00814;cd02800;			IPR041872;IPR004495;IPR023458;IPR014758;IPR015413;IPR033911;IPR029038;IPR012340;IPR014729;IPR002547;IPR009080;			PF09334;PF01588;		WP_004031689.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
K2RB04	K2RB04	hisI A994_08721	Phosphoribosyl-AMP cyclohydrolase (PRA-CH) (EC 3.5.4.19)	3.5.4.19	FUNCTION: Catalyzes the hydrolysis of the adenine ring of phosphoribosyl-AMP. {ECO:0000256|HAMAP-Rule:MF_01021}.	PATHWAY: Amino-acid biosynthesis; L-histidine biosynthesis; L-histidine from 5-phospho-alpha-D-ribose 1-diphosphate: step 3/9. {ECO:0000256|HAMAP-Rule:MF_01021}.	Amino-acid biosynthesis;Complete proteome;Cytoplasm;Histidine biosynthesis;Hydrolase;Magnesium;Metal-binding;Zinc	Inferred from homology	cytoplasm [GO:0005737]; magnesium ion binding [GO:0000287]; phosphoribosyl-AMP cyclohydrolase activity [GO:0004635]; zinc ion binding [GO:0008270]; histidine biosynthetic process [GO:0000105]	PRA-CH family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR026660;IPR002496;IPR038019;			PF01502;		WP_004031108.1;	UPA00031;UER00008	Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
K2QYV5	K2QYV5	ndk A994_08641	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)	2.7.4.6	FUNCTION: Major role in the synthesis of nucleoside triphosphates other than ATP. The ATP gamma phosphate is transferred to the NDP beta phosphate via a ping-pong mechanism, using a phosphorylated active-site intermediate. {ECO:0000256|HAMAP-Rule:MF_00451}.		ATP-binding;Complete proteome;Cytoplasm;Endonuclease;Hydrolase;Kinase;Magnesium;Metal-binding;Nuclease;Nucleotide metabolism;Nucleotide-binding;Phosphoprotein;Transferase	Inferred from homology	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; nucleoside diphosphate kinase activity [GO:0004550]; CTP biosynthetic process [GO:0006241]; GTP biosynthetic process [GO:0006183]; UTP biosynthetic process [GO:0006228]	NDK family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR034907;IPR036850;IPR001564;IPR023005;			PF00334;				Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
A0A090I2K2	A0A090I2K2	DSM1535_0755	PBS lyase HEAT domain-containing protein				Complete proteome;Lyase	Predicted	lyase activity [GO:0016829]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR011989;IPR016024;IPR000225;IPR021133;IPR004155;	mfi:DSM1535_0755;		PF03130;		WP_048072363.1;		Methanobacterium formicicum	2162
A0A089ZCI8	A0A089ZCI8	BRM9_0950 DSM1535_0920 MB9_2004	Methanogenesis marker protein 7				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR026327;IPR011312;	mfc:BRM9_0950;mfi:DSM1535_0920;		PF04609;		WP_048072504.1;		Methanobacterium formicicum	2162
K2RVK9	K2RVK9	A994_00850	Uncharacterized protein				Complete proteome	Predicted	catalytic activity [GO:0003824]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR005287;IPR016195;					WP_004029358.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
K2R8M5	K2R8M5	A994_12408	Roadblock/LC7 family protein				Complete proteome	Predicted	guanyl-nucleotide exchange factor activity [GO:0005085]; molecular adaptor activity [GO:0060090]; positive regulation of TOR signaling [GO:0032008]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR037587;IPR004942;			PF03259;		WP_004032016.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
K2R1L9	K2R1L9	pyrI A994_02958	Aspartate carbamoyltransferase regulatory chain		FUNCTION: Involved in allosteric regulation of aspartate carbamoyltransferase. {ECO:0000256|HAMAP-Rule:MF_00002}.		Complete proteome;Metal-binding;Pyrimidine biosynthesis;Transferase;Zinc	Inferred from homology	aspartate carbamoyltransferase complex [GO:0009347]; metal ion binding [GO:0046872]; transferase activity [GO:0016740]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; pyrimidine nucleotide biosynthetic process [GO:0006221]	PyrI family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR020545;IPR002801;IPR020542;IPR036792;IPR036793;			PF01948;PF02748;		WP_004029789.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
A0A0S4FP85	A0A0S4FP85	MB9_1193	Putative secreted protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum											WP_060537694.1;		Methanobacterium formicicum	2162
A0A0S4FNE3	A0A0S4FNE3	MB9_0894	Triphosphoribosyl-dephospho-CoA protein				Complete proteome	Predicted	ATP binding [GO:0005524]; triphosphoribosyl-dephospho-CoA synthase activity [GO:0046917]; phosphorylation [GO:0016310]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR002736;			PF01874;		WP_060537553.1;		Methanobacterium formicicum	2162
A0A090JX71	A0A090JX71	DSM1535_1801 MB9_1195	CRISPR locus-related DNA-binding protein				Complete proteome;DNA-binding	Predicted	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR010163;IPR015093;IPR001845;IPR011335;IPR036388;IPR036390;	mfi:DSM1535_1801;		PF09002;PF01022;				Methanobacterium formicicum	2162
A0A090I6A2	A0A090I6A2	DSM1535_1304	Cyclophilin type peptidyl-prolyl cis-trans isomerase				Complete proteome;Isomerase	Predicted	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein folding [GO:0006457]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR029000;IPR024936;IPR020892;IPR002130;	mfi:DSM1535_1304;	K03768;	PF00160;				Methanobacterium formicicum	2162
A0A090I4F8	A0A090I4F8	BRM9_1110 DSM1535_1764 MB9_1234	Iron-sulfur flavoprotein MJ1083 (NADPH-dependent FMN reductase)				Complete proteome	Predicted	oxidoreductase activity [GO:0016491]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR029039;IPR005025;	mfc:BRM9_1110;mfi:DSM1535_1764;		PF03358;		WP_048073191.1;		Methanobacterium formicicum	2162
A0A089ZVW0	A0A089ZVW0	nox BRM9_2319 MB9_2357	NADH oxidase Nox (Putative NADH oxidase) (EC 1.6.99.3)	1.6.99.3			Complete proteome;Oxidoreductase	Predicted	cell [GO:0005623]; flavin adenine dinucleotide binding [GO:0050660]; NADH dehydrogenase activity [GO:0003954]; cell redox homeostasis [GO:0045454]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR036188;IPR023753;IPR016156;IPR004099;	mfc:BRM9_2319;	K17870;	PF07992;PF02852;		WP_048085826.1;		Methanobacterium formicicum	2162
A0A089ZV44	A0A089ZV44	mptA BRM9_0972 DSM1535_0942 MB9_2026	GTP cyclohydrolase MptA (EC 3.5.4.39) (GTP cyclohydrolase IV)	3.5.4.39	FUNCTION: Converts GTP to 7,8-dihydro-D-neopterin 2',3'-cyclic phosphate, the first intermediate in the biosynthesis of coenzyme methanopterin. {ECO:0000256|HAMAP-Rule:MF_01527}.	PATHWAY: Cofactor biosynthesis; 5,6,7,8-tetrahydromethanopterin biosynthesis. {ECO:0000256|HAMAP-Rule:MF_01527}.	Complete proteome;Hydrolase;Iron;Metal-binding	Inferred from homology	GTP cyclohydrolase activity [GO:0003933]; iron ion binding [GO:0005506]	GTP cyclohydrolase IV family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR003801;IPR022840;	mfc:BRM9_0972;mfi:DSM1535_0942;	K17488;	PF02649;		WP_048072526.1;	UPA00065	Methanobacterium formicicum	2162
A0A089ZHA1	A0A089ZHA1	BRM9_1857 DSM1535_0041 MB9_0499	Ferripyochelin binding protein (Hexapeptide repeat-containing acetyltransferase)				Complete proteome;Transferase	Predicted	transferase activity [GO:0016740]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR001451;IPR011004;	mfc:BRM9_1857;mfi:DSM1535_0041;		PF00132;		WP_048071763.1;		Methanobacterium formicicum	2162
A0A089ZGK4	A0A089ZGK4	BRM9_0463	Polysaccharide biosynthesis protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR029303;IPR002797;	mfc:BRM9_0463;		PF01943;PF14667;		WP_048084641.1;		Methanobacterium formicicum	2162
K2REJ5	K2REJ5	rps27e A994_00870	30S ribosomal protein S27e				Complete proteome;Metal-binding;Ribonucleoprotein;Ribosomal protein;Zinc;Zinc-finger	Inferred from homology	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; zinc ion binding [GO:0008270]; translation [GO:0006412]	Eukaryotic ribosomal protein eS27 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR000592;IPR023407;IPR011332;			PF01667;		WP_004029362.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
K2RBN6	K2RBN6	A994_06555	Archaeoflavoprotein AfpA				Complete proteome	Predicted	catalytic activity [GO:0003824]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR014072;IPR036551;IPR003382;			PF02441;		WP_004030601.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
K2R290	K2R290	A994_00115	Amino acid-binding ACT domain-containing protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR002912;IPR011006;IPR040537;IPR015832;			PF13291;PF18462;		WP_004029194.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
K2QD32	K2QD32	A994_05501	DNA-directed RNA polymerase subunit K				Complete proteome;DNA-directed RNA polymerase;Transcription	Predicted	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; transcription, DNA-templated [GO:0006351]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR006110;IPR036161;IPR006111;			PF01192;				Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
A0A0S4FNA9	A0A0S4FNA9	deoC MB9_0820	Deoxyribose-phosphate aldolase (DERA) (EC 4.1.2.4) (2-deoxy-D-ribose 5-phosphate aldolase) (Phosphodeoxyriboaldolase) (Deoxyriboaldolase)	4.1.2.4	FUNCTION: Catalyzes a reversible aldol reaction between acetaldehyde and D-glyceraldehyde 3-phosphate to generate 2-deoxy-D-ribose 5-phosphate. {ECO:0000256|HAMAP-Rule:MF_00114}.	PATHWAY: Carbohydrate degradation; 2-deoxy-D-ribose 1-phosphate degradation; D-glyceraldehyde 3-phosphate and acetaldehyde from 2-deoxy-alpha-D-ribose 1-phosphate: step 2/2. {ECO:0000256|HAMAP-Rule:MF_00114}.	Complete proteome;Cytoplasm;Lyase;Schiff base	Inferred from homology	cytoplasm [GO:0005737]; deoxyribose-phosphate aldolase activity [GO:0004139]; carbohydrate catabolic process [GO:0016052]; deoxyribonucleotide catabolic process [GO:0009264]; deoxyribose phosphate catabolic process [GO:0046386]	DeoC/FbaB aldolase family, DeoC type 1 subfamily	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd00959;			IPR013785;IPR011343;IPR002915;IPR028581;			PF01791;		WP_060537520.1;	UPA00002;UER00468	Methanobacterium formicicum	2162
A0A090JUV1	A0A090JUV1	mtrD BRM9_0933 DSM1535_0903 MB9_1987	Tetrahydromethanopterin S-methyltransferase subunit D (EC 2.1.1.86) (N5-methyltetrahydromethanopterin--coenzyme M methyltransferase subunit D)	2.1.1.86	FUNCTION: Part of a complex that catalyzes the formation of methyl-coenzyme M and tetrahydromethanopterin from coenzyme M and methyl-tetrahydromethanopterin. This is an energy-conserving, sodium-ion translocating step. {ECO:0000256|HAMAP-Rule:MF_01097}.	PATHWAY: One-carbon metabolism; methanogenesis from CO(2); methyl-coenzyme M from 5,10-methylene-5,6,7,8-tetrahydromethanopterin: step 2/2. {ECO:0000256|HAMAP-Rule:MF_01097}.	Cell membrane;Complete proteome;Membrane;Methanogenesis;Methyltransferase;One-carbon metabolism;Transferase;Transmembrane;Transmembrane helix	Inferred from homology	cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; vesicle membrane [GO:0012506]; tetrahydromethanopterin S-methyltransferase activity [GO:0030269]; methanogenesis, from carbon dioxide [GO:0019386]; one-carbon metabolic process [GO:0006730]; sodium ion transport [GO:0006814]	MtrD family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR005779;	mfc:BRM9_0933;mfi:DSM1535_0903;	K00580;	PF04207;		WP_048073841.1;	UPA00640;UER00698	Methanobacterium formicicum	2162
A0A090JUP7	A0A090JUP7	DSM1535_0843	Phosphonate-transporting ATPase (EC 3.6.3.28)	3.6.3.28			ATP-binding;Complete proteome;Hydrolase;Nucleotide-binding	Predicted	ATP binding [GO:0005524]; ATPase activity [GO:0016887]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR003593;IPR003439;IPR017871;IPR027417;	mfi:DSM1535_0843;	K02003;	PF00005;				Methanobacterium formicicum	2162
A0A090JTA3	A0A090JTA3	DSM1535_0272	Putative membrane protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfi:DSM1535_0272;				WP_048071949.1;		Methanobacterium formicicum	2162
A0A090I9J6	A0A090I9J6	secF DSM1535_1681	Protein-export membrane protein SecF		FUNCTION: Involved in protein export. {ECO:0000256|HAMAP-Rule:MF_01464}.		Cell membrane;Complete proteome;Membrane;Protein transport;Translocation;Transmembrane;Transmembrane helix;Transport	Inferred from homology	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; intracellular protein transmembrane transport [GO:0065002]; protein targeting [GO:0006605]	SecD/SecF family, SecF subfamily	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR022813;IPR024921;	mfi:DSM1535_1681;	K03074;	PF02355;		WP_048073125.1;		Methanobacterium formicicum	2162
A0A090I8L0	A0A090I8L0	DSM1535_2351	Ferrous iron transport protein B, FeoB				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]; ferrous iron transmembrane transporter activity [GO:0015093]; GTP binding [GO:0005525]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd01879;			IPR003373;IPR011640;IPR041069;IPR030389;IPR011642;IPR006073;IPR027417;IPR005225;	mfi:DSM1535_2351;	K04759;	PF07664;PF17910;PF02421;PF07670;		WP_048073665.1;		Methanobacterium formicicum	2162
A0A090I626	A0A090I626	BRM9_1915 DSM1535_0101 MB9_0442	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd12144;			IPR005239;IPR007545;	mfc:BRM9_1915;mfi:DSM1535_0101;		PF04455;		WP_048071808.1;		Methanobacterium formicicum	2162
A0A090I5I0	A0A090I5I0	mtrC BRM9_0932 DSM1535_0902 MB9_1986	Tetrahydromethanopterin S-methyltransferase subunit C (EC 2.1.1.86) (N5-methyltetrahydromethanopterin--coenzyme M methyltransferase subunit C)	2.1.1.86	FUNCTION: Part of a complex that catalyzes the formation of methyl-coenzyme M and tetrahydromethanopterin from coenzyme M and methyl-tetrahydromethanopterin. This is an energy-conserving, sodium-ion translocating step. {ECO:0000256|HAMAP-Rule:MF_01096}.	PATHWAY: One-carbon metabolism; methanogenesis from CO(2); methyl-coenzyme M from 5,10-methylene-5,6,7,8-tetrahydromethanopterin: step 2/2. {ECO:0000256|HAMAP-Rule:MF_01096}.	Cell membrane;Complete proteome;Membrane;Methanogenesis;Methyltransferase;One-carbon metabolism;Transferase;Transmembrane;Transmembrane helix	Inferred from homology	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; tetrahydromethanopterin S-methyltransferase activity [GO:0030269]; methanogenesis, from carbon dioxide [GO:0019386]; one-carbon metabolic process [GO:0006730]	MtrC family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR005865;	mfc:BRM9_0932;mfi:DSM1535_0902;	K00579;	PF04211;		WP_048072489.1;	UPA00640;UER00698	Methanobacterium formicicum	2162
A0A090I4Y2	A0A090I4Y2	DSM1535_2091	Putative membrane protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfi:DSM1535_2091;						Methanobacterium formicicum	2162
A0A090I4S4	A0A090I4S4	DSM1535_1980	Family 2 glycosyl transferase				Complete proteome;Membrane;Transferase;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]; transferase activity [GO:0016740]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR001173;IPR029044;	mfi:DSM1535_1980;		PF00535;		WP_048073359.1;		Methanobacterium formicicum	2162
A0A090I4Q2	A0A090I4Q2	DSM1535_1940	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfi:DSM1535_1940;				WP_048073328.1;		Methanobacterium formicicum	2162
